lat,lon,name,category,subcategory
24.648064,46.731175,Unnamed,amenity,parking
24.650844,46.716417,البريد السعودي المركز الرئيسي,amenity,post_box
24.647,46.714,فندق مريوت رياض,tourism,hotel
24.640242,46.718019,ATM,amenity,atm
24.649496,46.714757,بنك الرياض,amenity,bank
24.645727,46.718361,SJ Supermarket Al Batha,shop,supermarket
24.645865,46.715708,زين,office,telecommunication
24.647624,46.717124,الزاجل للشحن الجوي و البحري,amenity,post_office
24.647221,46.717359,Unnamed,amenity,place_of_worship
24.643389,46.729375,خالو عبدالسلام,amenity,post_office
24.647955,46.724639,المديفر,shop,travel_agency
24.640906,46.719151,Unnamed,amenity,atm
24.648859,46.731778,القوات الخاصة للأمن والحماية,office,government
24.641107,46.718069,جمال سنتر,amenity,cinema
24.644921,46.717291,بالطيف,shop,jewelry
24.647562,46.716443,Unnamed,amenity,restaurant
24.644429,46.715664,batha hotel,amenity,fast_food
24.644765,46.728652,Adeeb Accomodation,tourism,apartment
24.650679,46.73265,Unnamed,amenity,parking
24.65052,46.731368,Unnamed,amenity,parking
24.64981,46.730382,Unnamed,amenity,parking
24.64891,46.731243,Unnamed,amenity,parking
24.641574,46.720164,Bin Shaihoun Tire shop,shop,car_repair
24.644743,46.715014,الفرسان الرحاله,shop,travel_agency
24.646755,46.71985,Gurabi RAM back,shop,car_parts
24.64827,46.714575,Petromin,shop,car_repair
24.649431,46.723829,الدريس,shop,car_repair
24.646325,46.716764,aDawliah,shop,musical_instrument
24.639241,46.715089,Unnamed,amenity,atm
24.651532,46.734077,آبار الذهب,amenity,fuel
24.642848,46.724736,Masdar Technical Supplies,shop,hardware
24.647387,46.714386,قصر التوت,tourism,hotel
24.645357,46.715255,الطازج,amenity,restaurant
24.646207,46.717277,فلاجيو,shop,mall
24.644883,46.715404,الكدادين,amenity,parking
24.639295,46.714557,Unnamed,amenity,school
24.639303,46.714107,Unnamed,amenity,place_of_worship
24.647921,46.714144,Unnamed,amenity,fuel
24.648017,46.714095,Unnamed,amenity,fuel
24.647944,46.71405,Unnamed,amenity,fuel
24.640751,46.727218,Unnamed,leisure,park
24.647564,46.714056,Unnamed,amenity,car_wash
24.651477,46.714993,Unnamed,amenity,parking
24.650106,46.716503,Unnamed,amenity,post_office
24.650148,46.71663,البريد السعودي المركز الرئيسي,amenity,post_office
24.648695,46.727889,الموسسة العامة للتدريب التقني والمهني,office,government
24.64941,46.731547,Unnamed,office,government
24.649514,46.73106,Unnamed,amenity,parking_space
24.649881,46.731941,Unnamed,amenity,parking_space
24.648668,46.731957,القوات الخاصة للأمن والحماية,office,government
24.647267,46.73276,Unnamed,leisure,park
24.648411,46.721605,حديقة عمر بن الخطاب,leisure,park
24.644786,46.722464,حديقة العمل,leisure,park
24.64413,46.72229,جامع إبراهيم التركي,amenity,place_of_worship
24.644125,46.717465,Unnamed,amenity,parking
24.651406,46.727285,Unnamed,amenity,parking_space
24.650276,46.730237,Unnamed,amenity,parking_space
24.650467,46.730819,Unnamed,amenity,parking_space
24.650517,46.731383,Unnamed,amenity,parking_space
24.648907,46.731179,Unnamed,amenity,parking_space
24.651738,46.717177,إدارة الميزانية العامة,office,government
