district,total,restaurants,cafes,stores
King Faisal Dist.,99,21,20,60
Al Aziziyah Dist.,99,21,20,57
Al Amal Dist.,98,20,20,55
Al Qadisiyah Dist.,98,20,20,57
Dhahrat Laban Dist.,98,20,20,57
East Umm Al Hamam Dist.,96,21,20,56
Al Shohda Dist.,96,21,20,55
King Abdullah Dist.,96,20,20,55
Al Hazm Dist.,95,20,20,58
Al Difaa Dist.,95,20,20,52
Al Nahdah Dist.,95,21,20,57
Tuwaiq Dist.,94,20,20,54
Al Saadah Dist.,93,20,20,50
East Naseem Dist.,92,20,20,50
Al Jarradiyah Dist.,91,19,19,56
Al Farooq Dist.,91,18,17,50
Al Masani Dist.,90,19,20,52
Badr Dist.,90,20,20,50
Al Narjis Dist.,89,21,20,51
Al Marwah Dist.,88,12,20,55
Al Rimayah Dist.,87,20,20,50
Al Sulay Dist.,85,14,20,46
Al Suwaidi Dist.,84,10,18,55
Al Salam Dist.,84,20,19,45
Al Yasmeen Dist.,84,16,14,52
Laban Dist.,83,21,20,54
Al Faisaliyah Dist.,83,18,15,48
Namar Dist.,83,12,20,55
Al Yarmuk Dist.,83,15,15,49
Al Bayan Dist.,83,20,20,48
King Fahd Dist.,82,20,15,47
Al Shifa Dist.,82,14,20,50
Al Malqa Dist.,81,21,20,51
Al Mahdiyah Dist.,81,19,20,50
Ar Rahmaniyah Dist.,80,17,13,50
Al Jazeerah Dist.,80,18,18,49
Al Aqeeq Dist.,79,12,16,48
Al Maizalah Dist.,79,17,19,52
Al Dar Al Baida Dist.,78,19,19,44
Al Namudhajiyah Dist.,76,13,14,46
West Suwaidi Dist.,76,14,17,44
Hiteen Dist.,75,16,18,44
Al Sinaiyah Dist.,74,14,17,41
Al Falah Dist.,74,18,10,41
Al Mansurah Dist.,73,5,18,53
Al Nafel Dist.,73,19,13,42
Ar Rabie Dist.,73,14,13,42
Al Khaleej Dist.,72,5,17,45
Ohod Dist.,72,21,15,43
Al Nuzha Dist.,71,15,6,38
Qurtubah Dist.,70,11,14,42
West Oraija Dist.,69,15,15,37
Al Nada Dist.,68,12,14,37
Ar Rabwah Dist.,68,11,13,42
Al Manar Dist.,67,9,12,45
Wady Laban Dist.,67,20,7,39
Al Munisiyah Dist.,66,7,15,40
Al Mursalat Dist.,65,11,10,40
Al Wizarat Dist.,65,16,9,38
Al Nakheel Dist.,65,14,16,32
Manfuha Al Jadidah Dist.,64,11,17,40
Al Dirah Dist.,64,9,16,41
Manfuhah Dist.,64,4,18,43
Dirab Dist.,64,20,14,38
Al Muhammadiyah Dist.,63,11,7,38
Al Awaly Dist.,63,7,17,44
Ghobairah Dist.,62,3,17,45
Utayqah Dist.,60,5,16,35
Okaz Dist.,60,20,5,34
Assafarat Dist.,60,18,17,35
King Khalid International Airport,59,20,20,36
Al Hada Dist.,58,19,19,29
Ar Rafiah Dist.,58,15,17,37
Al Mishael Dist.,58,21,2,24
Al Zahrah Dist.,57,6,14,34
Al Haer Dist.,57,20,14,30
Al Iskan Dist.,56,17,9,28
Al Andalus Dist.,56,3,12,35
West Naseem Dist.,56,4,16,35
Al Manakh Dist.,55,20,9,24
Al Arid Dist.,55,20,7,28
King Abdulaziz Dist.,54,16,10,30
Al Quds Dist.,54,2,17,39
2nd Industrial City,52,20,7,32
Al Futah Dist.,52,10,11,29
Al Hamra Dist.,52,2,13,43
Al Ghannamiyah Dist.,51,19,7,28
Ghirnatah Dist.,49,1,8,32
Al Khalidiyah Dist.,48,4,15,33
Al Fayha Dist.,48,3,12,35
Salahuddin Dist.,47,6,8,31
Al Malaz Dist.,46,0,10,35
Al Sulaimaniyah Dist.,46,12,2,26
Al Yamamah Dist.,45,8,8,24
Al Rawabi Dist.,45,2,6,33
Al Fakhiriyah Dist.,44,1,8,31
Al Woroud Dist.,44,7,1,26
As Salhiyah Dist.,44,12,10,21
Jareer Dist.,43,0,8,32
Dahiyat Namar Dist.,43,16,1,25
Al Sharafiyah Dist.,42,5,16,33
Al Wahah Dist.,42,3,14,32
Al Olaya Dist.,42,10,0,19
Al Maseef Dist.,42,2,5,28
Ishbiliyah Dist.,42,4,14,28
Al Noor Dist.,41,19,4,14
Al Wadi Dist.,41,5,7,27
Al Ammajiyah Dist.,41,10,11,28
Al Nadwah Dist.,41,14,6,21
Al Duraihemiyah Dist.,39,3,18,29
Al Rayan Dist.,39,5,6,32
Taybah Dist.,39,19,3,18
Al Janadriyah Dist.,39,16,9,24
West Umm Al Hamam Dist.,38,6,10,18
Dhahrat Al Badeah Dist.,38,0,13,25
Al Muruj Dist.,37,1,4,26
Middle Oraija Dist.,37,9,12,20
Shubra Dist.,36,2,6,25
Al Oud Dist.,36,10,8,19
Al Sahafah Dist.,36,4,15,26
Irqah,34,13,9,22
North Mathar Dist.,33,4,6,25
Al Rawdah Dist.,33,1,12,29
Mansuriyah Dist.,33,3,1,21
Al Khuzama Dist.,33,7,16,22
Al Murabba Dist.,32,4,8,24
Al Marqab Dist.,31,13,2,4
Al Qairawan Dist.,30,7,4,23
Siyah Dist.,29,6,3,9
Olaishah Dist.,28,11,10,15
Al Safa Dist.,28,0,11,22
Al Zahra Dist.,28,3,8,26
Al Taawun Dist.,27,0,4,22
Thulaim Dist.,27,9,1,13
Al Khair Dist.,27,7,1,19
Al Misfat Dist.,26,4,3,21
Al Ghadeer Dist.,26,1,11,19
Hyt Dist.,26,6,4,20
Al Fursan Dist.,26,3,2,20
Al Ezdihar Dist.,25,0,8,24
Al Mughrazat Dist.,25,0,7,20
Al Shumaisi Dist.,25,6,6,12
Salam Park,25,5,7,10
Al Uraija Dist.,24,4,6,18
Al Raed Dist.,23,0,13,18
Oraid Dist.,23,9,0,14
Al Rimal Dist.,22,7,12,14
Skirinah Dist.,21,6,7,12
Al Badiah Dist.,21,7,8,12
Al Dhubbat Dist.,20,0,4,18
Sultanah Dist.,20,2,8,12
Al Wisham Dist.,19,2,11,15
Umm Saleem Dist.,19,7,3,3
Imam Muhammed Bin Saud Islamic University,18,3,10,13
Meakal Dist.,17,6,4,5
Al Marjan Dist.,15,1,0,12
Al Sahab Dist.,15,5,3,10
King Saud University,14,0,14,12
Al Qura Dist.,13,6,0,1
Al Wasam Dist.,13,4,7,7
Al Mathar Dist.,12,0,7,11
Al Butaiha Dist.,12,6,5,4
Jabrah Dist.,11,7,2,2
Al Mashriq Dist.,11,1,1,9
Al Mutamarat Dist.,8,0,0,5
Al Zaher Dist.,7,0,1,6
Al Ula Dist.,5,3,2,1
Khashm Al An,4,2,1,3
Al Dubiyah Dist.,4,3,0,1
Al Nasiriyah Dist.,3,0,3,2
Banban Dist.,3,2,1,0
Al Rayah Dist.,3,0,0,3
Al Rabiyah Dist.,2,0,1,2
Al Tadamun Dist.,2,0,0,1
King Abdullah City For Energy,2,0,0,2
Al Nadheem Dist.,1,0,0,1
Al Bariyah Dist.,1,0,0,1
Al Sidrah Dist.,1,0,0,0
Al Majd Dist.,1,0,0,1
Al Wusayta Dist.,0,0,0,0
Al Dahou Dist.,0,0,0,0
Umm Al Shaal Dist.,0,0,0,0
Al Basatin Dist.,0,0,0,0
Al Rehab Dist.,0,0,0,0
Al Danah Dist.,0,0,0,0
Al Risalah Dist.,0,0,0,0
Al Sholah Dist.,0,0,0,0
Al Zahour Dist.,0,0,0,0
Al Nakhbah Dist.,0,0,0,0
