latitude,longitude,type,name,district
24.7929595,46.6327482,Restaurant,Kitchen On 3,District
24.7021245,46.6479251,Thai restaurant,The Villa Restaurant,Al Fustuq
24.7288726,46.6679674,Restaurant,Le Petit Chef - Riyadh,
24.6739114,46.623539,Fine dining restaurant,Nomas,Al Safarat
24.7013125,46.6763125,Restaurant,Swiss Butter,Al Olaya
24.6653654,46.6310103,Buffet restaurant,Al Orjouan,Al Hada Area، طريق مكة المكرمة
24.6671392,46.6252019,Seafood restaurant,Scott's,Al Hada، حي
24.7022789,46.6982272,Lebanese restaurant,Goodies Selections - Tahlia Riyadh,6719 حي
24.702319,46.651586,Japanese restaurant,Shiro,Near King Khaled Mosque، Al Urubah Road
24.6978109,46.6835542,Japanese restaurant,Yokari,Al Olaya
24.7830858,46.6516956,French restaurant,L'ami Dave,Ar Rabi
24.7527016,46.6249654,Japanese restaurant,Gold Sushi Club,
24.7009306,46.675922,Italian restaurant,V Restaurant KSA,Al Olaya
24.7107782,46.6677711,Restaurant,Saolah Restaurant,4112 Al Urubah Branch Rd
24.732127,46.648933,Indian restaurant,RUHI Indian Cuisine,7236 Al Takhassousi
24.6898068,46.6851121,European restaurant,The Globe ذا غلوب,Al Olaya
24.690014,46.6864312,Chinese restaurant,Yauatcha Riyadh,Al Olaya
24.7059626,46.7065493,Turkish restaurant,Mekan Lounge By Rüya,1224 Prince Muhammad Ibn Abd Al Aziz
24.6916263,46.7018848,Middle Eastern restaurant,Mama Noura,As Sulimaniyah
24.7038642,46.7061858,Japanese restaurant,KAYZŌ,As Sulimaniyah، District، 8273
